molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL2391423,112200.0,nM,Oc1cc(O)cc(Oc2c(Oc3c(O)cc(O)cc3O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,3.9500071430798576
CHEMBL1277754,128900.0,nM,CC(=O)Oc1cc2c(cc1C(C)C)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CO,3.889747082646597
CHEMBL40275,132000.0,nM,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,3.8794260687941504
CHEMBL1277840,137700.0,nM,C=C1CC[C@H]2[C@](C)(CO)CCC[C@]2(C)[C@H]1CC/C(C)=C\CO,3.8610660597430764
CHEMBL559870,158300.0,nM,Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1,3.800519085137644
CHEMBL1277662,163200.0,nM,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(C=O)[C@@H]1CC2,3.787279845582158
CHEMBL2391422,164700.0,nM,Oc1cc(O)cc(Oc2c(O)cc(Oc3c(O)cc(O)cc3O)cc2O)c1,3.783306400830246
CHEMBL510508,174600.0,nM,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc4oc5c(Oc6cc(O)cc(O)c6)c(O)cc(O)c5c4c2O3)c1,3.7579557606304492
CHEMBL459393,177100.0,nM,Oc1cc(O)c(Oc2cc(O)cc(O)c2Oc2cc(O)cc(O)c2-c2c(O)cc(O)cc2O)c(O)c1,3.7517814388099255
CHEMBL1488602,186000.0,nM,COCCOCCn1c(CCCO)nc2ccccc21,3.730487055782084
CHEMBL71893,189100.0,nM,CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1,3.7233084711549607
CHEMBL393608,200000.0,nM,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,3.6989700043360187
CHEMBL12798,207000.0,nM,COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,3.6840296545430826
CHEMBL197310,220800.0,nM,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CO)[C@@H]1CC2,3.656000930942839
CHEMBL1277661,233400.0,nM,CC(C)c1cc2c(cc1O)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC2,3.631899148290649
CHEMBL28,280800.0,nM,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,3.5516028965422324
CHEMBL512164,283500.0,nM,C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]23C)C1,3.547446936771075
CHEMBL238216,300000.0,nM,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,3.5228787452803374
CHEMBL196635,800000.0,nM,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,3.0969100130080562
CHEMBL194398,870000.0,nM,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,3.0604807473813818
